year,quarter,date,newspapers,mood,detrending,val
1985,4,1985 Q4,without Washington Post,negative,3rd-order polynomial,100.24832030035239
1986,1,1986 Q1,without Washington Post,negative,3rd-order polynomial,100.39582133928486
1986,2,1986 Q2,without Washington Post,negative,3rd-order polynomial,100.29252777189161
1986,3,1986 Q3,without Washington Post,negative,3rd-order polynomial,100.12646327801973
1986,4,1986 Q4,without Washington Post,negative,3rd-order polynomial,99.74306002197429
1987,1,1987 Q1,without Washington Post,negative,3rd-order polynomial,100.49508768714189
1987,2,1987 Q2,without Washington Post,negative,3rd-order polynomial,100.56146860113135
1987,3,1987 Q3,without Washington Post,negative,3rd-order polynomial,100.16182739635335
1987,4,1987 Q4,without Washington Post,negative,3rd-order polynomial,101.02962607425943
1988,1,1988 Q1,without Washington Post,negative,3rd-order polynomial,100.13243114939534
1988,2,1988 Q2,without Washington Post,negative,3rd-order polynomial,99.83104941810265
1988,3,1988 Q3,without Washington Post,negative,3rd-order polynomial,100.2899551878082
1988,4,1988 Q4,without Washington Post,negative,3rd-order polynomial,99.89670973574158
1989,1,1989 Q1,without Washington Post,negative,3rd-order polynomial,100.78484142651862
1989,2,1989 Q2,without Washington Post,negative,3rd-order polynomial,100.06887936501474
1989,3,1989 Q3,without Washington Post,negative,3rd-order polynomial,100.3366518748901
1989,4,1989 Q4,without Washington Post,negative,3rd-order polynomial,100.95027828396245
1990,1,1990 Q1,without Washington Post,negative,3rd-order polynomial,101.27194834884845
1990,2,1990 Q2,without Washington Post,negative,3rd-order polynomial,101.12878738809383
1990,3,1990 Q3,without Washington Post,negative,3rd-order polynomial,101.61246946458812
1990,4,1990 Q4,without Washington Post,negative,3rd-order polynomial,101.49447297833078
1991,1,1991 Q1,without Washington Post,negative,3rd-order polynomial,101.64598132643974
1991,2,1991 Q2,without Washington Post,negative,3rd-order polynomial,100.80428632415554
1991,3,1991 Q3,without Washington Post,negative,3rd-order polynomial,100.91742046683757
1991,4,1991 Q4,without Washington Post,negative,3rd-order polynomial,101.60004936502934
1992,1,1992 Q1,without Washington Post,negative,3rd-order polynomial,101.16835342732742
1992,2,1992 Q2,without Washington Post,negative,3rd-order polynomial,100.61960191588793
1992,3,1992 Q3,without Washington Post,negative,3rd-order polynomial,100.92600628907533
1992,4,1992 Q4,without Washington Post,negative,3rd-order polynomial,100.81963827743924
1993,1,1993 Q1,without Washington Post,negative,3rd-order polynomial,100.93710811328505
1993,2,1993 Q2,without Washington Post,negative,3rd-order polynomial,100.37891456808556
1993,3,1993 Q3,without Washington Post,negative,3rd-order polynomial,99.95087920980677
1993,4,1993 Q4,without Washington Post,negative,3rd-order polynomial,99.69272562267072
1994,1,1994 Q1,without Washington Post,negative,3rd-order polynomial,100.62897896750444
1994,2,1994 Q2,without Washington Post,negative,3rd-order polynomial,100.47017256743356
1994,3,1994 Q3,without Washington Post,negative,3rd-order polynomial,100.09258346877321
1994,4,1994 Q4,without Washington Post,negative,3rd-order polynomial,100.57767018594579
1995,1,1995 Q1,without Washington Post,negative,3rd-order polynomial,101.28945864926891
1995,2,1995 Q2,without Washington Post,negative,3rd-order polynomial,100.43969654948701
1995,3,1995 Q3,without Washington Post,negative,3rd-order polynomial,100.19643721618593
1995,4,1995 Q4,without Washington Post,negative,3rd-order polynomial,100.59405354913123
1996,1,1996 Q1,without Washington Post,negative,3rd-order polynomial,100.59610632282434
1996,2,1996 Q2,without Washington Post,negative,3rd-order polynomial,100.60795159118925
1996,3,1996 Q3,without Washington Post,negative,3rd-order polynomial,100.14566328666773
1996,4,1996 Q4,without Washington Post,negative,3rd-order polynomial,99.84320874621159
1997,1,1997 Q1,without Washington Post,negative,3rd-order polynomial,100.82976490361378
1997,2,1997 Q2,without Washington Post,negative,3rd-order polynomial,100.05941264752013
1997,3,1997 Q3,without Washington Post,negative,3rd-order polynomial,100.25083143059418
1997,4,1997 Q4,without Washington Post,negative,3rd-order polynomial,101.33323383819925
1998,1,1998 Q1,without Washington Post,negative,3rd-order polynomial,100.91599806946736
1998,2,1998 Q2,without Washington Post,negative,3rd-order polynomial,100.54860372850129
1998,3,1998 Q3,without Washington Post,negative,3rd-order polynomial,101.08673283120264
1998,4,1998 Q4,without Washington Post,negative,3rd-order polynomial,101.13805865981394
1999,1,1999 Q1,without Washington Post,negative,3rd-order polynomial,100.84735177525067
1999,2,1999 Q2,without Washington Post,negative,3rd-order polynomial,100.44275236917976
1999,3,1999 Q3,without Washington Post,negative,3rd-order polynomial,100.35151731232257
1999,4,1999 Q4,without Washington Post,negative,3rd-order polynomial,100.51110146724506
2e3,1,2000 Q1,without Washington Post,negative,3rd-order polynomial,100.48118016652198
2e3,2,2000 Q2,without Washington Post,negative,3rd-order polynomial,100.51510781954372
2e3,3,2000 Q3,without Washington Post,negative,3rd-order polynomial,99.75522111233677
2e3,4,2000 Q4,without Washington Post,negative,3rd-order polynomial,100.41273345841621
2001,1,2001 Q1,without Washington Post,negative,3rd-order polynomial,101.66332516000514
2001,2,2001 Q2,without Washington Post,negative,3rd-order polynomial,101.22980850534545
2001,3,2001 Q3,without Washington Post,negative,3rd-order polynomial,101.72733001340234
2001,4,2001 Q4,without Washington Post,negative,3rd-order polynomial,101.82250999365053
2002,1,2002 Q1,without Washington Post,negative,3rd-order polynomial,101.49758210450656
2002,2,2002 Q2,without Washington Post,negative,3rd-order polynomial,101.39470569399386
2002,3,2002 Q3,without Washington Post,negative,3rd-order polynomial,102.0513423069863
2002,4,2002 Q4,without Washington Post,negative,3rd-order polynomial,101.23387368669722
2003,1,2003 Q1,without Washington Post,negative,3rd-order polynomial,102.0250479065773
2003,2,2003 Q2,without Washington Post,negative,3rd-order polynomial,101.62323424808346
2003,3,2003 Q3,without Washington Post,negative,3rd-order polynomial,101.36337002325533
2003,4,2003 Q4,without Washington Post,negative,3rd-order polynomial,100.86305848209541
2004,1,2004 Q1,without Washington Post,negative,3rd-order polynomial,100.35381060389568
2004,2,2004 Q2,without Washington Post,negative,3rd-order polynomial,100.08907357804343
2004,3,2004 Q3,without Washington Post,negative,3rd-order polynomial,100.18161739121597
2004,4,2004 Q4,without Washington Post,negative,3rd-order polynomial,99.97809531884747
2005,1,2005 Q1,without Washington Post,negative,3rd-order polynomial,99.9419998860777
2005,2,2005 Q2,without Washington Post,negative,3rd-order polynomial,100.02321187792512
2005,3,2005 Q3,without Washington Post,negative,3rd-order polynomial,99.76215438312842
2005,4,2005 Q4,without Washington Post,negative,3rd-order polynomial,99.65644605268179
2006,1,2006 Q1,without Washington Post,negative,3rd-order polynomial,99.67919710493844
2006,2,2006 Q2,without Washington Post,negative,3rd-order polynomial,99.93682639366344
2006,3,2006 Q3,without Washington Post,negative,3rd-order polynomial,100.04287624845698
2006,4,2006 Q4,without Washington Post,negative,3rd-order polynomial,99.89231737424623
2007,1,2007 Q1,without Washington Post,negative,3rd-order polynomial,100.0862132611731
2007,2,2007 Q2,without Washington Post,negative,3rd-order polynomial,99.89976819249718
2007,3,2007 Q3,without Washington Post,negative,3rd-order polynomial,100.79519172045629
2007,4,2007 Q4,without Washington Post,negative,3rd-order polynomial,100.40207283586255
2008,1,2008 Q1,without Washington Post,negative,3rd-order polynomial,100.65945929837441
2008,2,2008 Q2,without Washington Post,negative,3rd-order polynomial,100.30549114092548
2008,3,2008 Q3,without Washington Post,negative,3rd-order polynomial,101.57729561740784
2008,4,2008 Q4,without Washington Post,negative,3rd-order polynomial,103.87052688681702
2009,1,2009 Q1,without Washington Post,negative,3rd-order polynomial,102.88676980986874
2009,2,2009 Q2,without Washington Post,negative,3rd-order polynomial,100.44079732149638
2009,3,2009 Q3,without Washington Post,negative,3rd-order polynomial,99.83551860296366
2009,4,2009 Q4,without Washington Post,negative,3rd-order polynomial,99.79487997068632
2010,1,2010 Q1,without Washington Post,negative,3rd-order polynomial,99.85759431030334
2010,2,2010 Q2,without Washington Post,negative,3rd-order polynomial,99.66840056363587
2010,3,2010 Q3,without Washington Post,negative,3rd-order polynomial,99.16383919401599
2010,4,2010 Q4,without Washington Post,negative,3rd-order polynomial,98.84801776298035
2011,1,2011 Q1,without Washington Post,negative,3rd-order polynomial,99.0024826544327
2011,2,2011 Q2,without Washington Post,negative,3rd-order polynomial,99.43157717331175
2011,3,2011 Q3,without Washington Post,negative,3rd-order polynomial,101.11154431150484
2011,4,2011 Q4,without Washington Post,negative,3rd-order polynomial,99.28679744694233
2012,1,2012 Q1,without Washington Post,negative,3rd-order polynomial,98.96459983932677
2012,2,2012 Q2,without Washington Post,negative,3rd-order polynomial,99.17561298395186
2012,3,2012 Q3,without Washington Post,negative,3rd-order polynomial,98.68389697070587
2012,4,2012 Q4,without Washington Post,negative,3rd-order polynomial,98.53436733365326
2013,1,2013 Q1,without Washington Post,negative,3rd-order polynomial,98.47387167471699
2013,2,2013 Q2,without Washington Post,negative,3rd-order polynomial,98.42495761519868
2013,3,2013 Q3,without Washington Post,negative,3rd-order polynomial,98.59516473077613
2013,4,2013 Q4,without Washington Post,negative,3rd-order polynomial,98.48683102377802
2014,1,2014 Q1,without Washington Post,negative,3rd-order polynomial,98.38060320612769
2014,2,2014 Q2,without Washington Post,negative,3rd-order polynomial,98.4861740566294
2014,3,2014 Q3,without Washington Post,negative,3rd-order polynomial,98.72860876502625
2014,4,2014 Q4,without Washington Post,negative,3rd-order polynomial,98.39282785377232
2015,1,2015 Q1,without Washington Post,negative,3rd-order polynomial,98.36662169265028
2015,2,2015 Q2,without Washington Post,negative,3rd-order polynomial,98.58204763346367
2015,3,2015 Q3,without Washington Post,negative,3rd-order polynomial,98.99353144551068
2015,4,2015 Q4,without Washington Post,negative,3rd-order polynomial,98.33514751981824
2016,1,2016 Q1,without Washington Post,negative,3rd-order polynomial,98.77594677275823
2016,2,2016 Q2,without Washington Post,negative,3rd-order polynomial,98.53440665920382
2016,3,2016 Q3,without Washington Post,negative,3rd-order polynomial,98.39099204505511
2016,4,2016 Q4,without Washington Post,negative,3rd-order polynomial,98.37358286679412
1889,1,1889 Q1,without Washington Post,neutral,3rd-order polynomial,101.19576426732942
1889,2,1889 Q2,without Washington Post,neutral,3rd-order polynomial,99.98073900972231
1889,3,1889 Q3,without Washington Post,neutral,3rd-order polynomial,99.81152209638302
1889,4,1889 Q4,without Washington Post,neutral,3rd-order polynomial,100.0873779952858
1890,1,1890 Q1,without Washington Post,neutral,3rd-order polynomial,100.90565961062468
1890,2,1890 Q2,without Washington Post,neutral,3rd-order polynomial,100.81254473450943
1890,3,1890 Q3,without Washington Post,neutral,3rd-order polynomial,100.77549724643345
1890,4,1890 Q4,without Washington Post,neutral,3rd-order polynomial,101.1304203620983
1891,1,1891 Q1,without Washington Post,neutral,3rd-order polynomial,101.16471282516687
1891,2,1891 Q2,without Washington Post,neutral,3rd-order polynomial,101.62271021313107
1891,3,1891 Q3,without Washington Post,neutral,3rd-order polynomial,100.5997261014483
1891,4,1891 Q4,without Washington Post,neutral,3rd-order polynomial,101.29753827995575
1892,1,1892 Q1,without Washington Post,neutral,3rd-order polynomial,101.61836030265333
1892,2,1892 Q2,without Washington Post,neutral,3rd-order polynomial,101.11291157510857
1892,3,1892 Q3,without Washington Post,neutral,3rd-order polynomial,100.60489881272953
1892,4,1892 Q4,without Washington Post,neutral,3rd-order polynomial,100.82455981187753
1893,1,1893 Q1,without Washington Post,neutral,3rd-order polynomial,100.75838620612706
1893,2,1893 Q2,without Washington Post,neutral,3rd-order polynomial,100.19870569531881
1893,3,1893 Q3,without Washington Post,neutral,3rd-order polynomial,100.72004456707306
1893,4,1893 Q4,without Washington Post,neutral,3rd-order polynomial,99.48312942237118
1894,1,1894 Q1,without Washington Post,neutral,3rd-order polynomial,99.837962014039
1894,2,1894 Q2,without Washington Post,neutral,3rd-order polynomial,99.62187250447035
1894,3,1894 Q3,without Washington Post,neutral,3rd-order polynomial,99.66175961810706
1894,4,1894 Q4,without Washington Post,neutral,3rd-order polynomial,99.79108068990868
1895,1,1895 Q1,without Washington Post,neutral,3rd-order polynomial,100.03435055768188
1895,2,1895 Q2,without Washington Post,neutral,3rd-order polynomial,99.38981033364357
1895,3,1895 Q3,without Washington Post,neutral,3rd-order polynomial,99.3679980051223
1895,4,1895 Q4,without Washington Post,neutral,3rd-order polynomial,99.07376107779417
1896,1,1896 Q1,without Washington Post,neutral,3rd-order polynomial,99.3877285034103
1896,2,1896 Q2,without Washington Post,neutral,3rd-order polynomial,99.61371254071992
1896,3,1896 Q3,without Washington Post,neutral,3rd-order polynomial,100.69442423857147
1896,4,1896 Q4,without Washington Post,neutral,3rd-order polynomial,99.06923457579803
1897,1,1897 Q1,without Washington Post,neutral,3rd-order polynomial,99.22631481529909
1897,2,1897 Q2,without Washington Post,neutral,3rd-order polynomial,98.86601295636378
1897,3,1897 Q3,without Washington Post,neutral,3rd-order polynomial,99.8225526843809
1897,4,1897 Q4,without Washington Post,neutral,3rd-order polynomial,99.28258503616306
1898,1,1898 Q1,without Washington Post,neutral,3rd-order polynomial,99.27460132636696
1898,2,1898 Q2,without Washington Post,neutral,3rd-order polynomial,98.54470136143739
1898,3,1898 Q3,without Washington Post,neutral,3rd-order polynomial,98.98185867564608
1898,4,1898 Q4,without Washington Post,neutral,3rd-order polynomial,98.84366829688496
1899,1,1899 Q1,without Washington Post,neutral,3rd-order polynomial,98.3353568368539
1899,2,1899 Q2,without Washington Post,neutral,3rd-order polynomial,98.831070880209
1899,3,1899 Q3,without Washington Post,neutral,3rd-order polynomial,98.7666682493064
1899,4,1899 Q4,without Washington Post,neutral,3rd-order polynomial,99.79264842888604
1900,1,1900 Q1,without Washington Post,neutral,3rd-order polynomial,101.20200072215422
1900,2,1900 Q2,without Washington Post,neutral,3rd-order polynomial,100.66698799598076
1900,3,1900 Q3,without Washington Post,neutral,3rd-order polynomial,99.8581954693442
1900,4,1900 Q4,without Washington Post,neutral,3rd-order polynomial,99.81186975921793
1901,1,1901 Q1,without Washington Post,neutral,3rd-order polynomial,100.08567499124526
1901,2,1901 Q2,without Washington Post,neutral,3rd-order polynomial,100.44781112025814
1901,3,1901 Q3,without Washington Post,neutral,3rd-order polynomial,99.7764359463674
1901,4,1901 Q4,without Washington Post,neutral,3rd-order polynomial,100.05806654550929
1902,1,1902 Q1,without Washington Post,neutral,3rd-order polynomial,99.97454292283804
1902,2,1902 Q2,without Washington Post,neutral,3rd-order polynomial,98.4917348208784
1902,3,1902 Q3,without Washington Post,neutral,3rd-order polynomial,98.94345401194468
1902,4,1902 Q4,without Washington Post,neutral,3rd-order polynomial,98.8011693734627
1903,1,1903 Q1,without Washington Post,neutral,3rd-order polynomial,98.55833386128383
1903,2,1903 Q2,without Washington Post,neutral,3rd-order polynomial,98.86978823747029
1903,4,1903 Q4,without Washington Post,neutral,3rd-order polynomial,98.52195234738167
1904,1,1904 Q1,without Washington Post,neutral,3rd-order polynomial,98.35283981025134
1904,2,1904 Q2,without Washington Post,neutral,3rd-order polynomial,98.23409194374544
1904,3,1904 Q3,without Washington Post,neutral,3rd-order polynomial,98.22666840293107
1904,4,1904 Q4,without Washington Post,neutral,3rd-order polynomial,98.74295611395156
1905,1,1905 Q1,without Washington Post,neutral,3rd-order polynomial,99.08873835529481
1905,2,1905 Q2,without Washington Post,neutral,3rd-order polynomial,98.7370701371583
1905,3,1905 Q3,without Washington Post,neutral,3rd-order polynomial,98.5934724214059
1905,4,1905 Q4,without Washington Post,neutral,3rd-order polynomial,99.0711467442972
1906,1,1906 Q1,without Washington Post,neutral,3rd-order polynomial,98.57130972320485
1906,2,1906 Q2,without Washington Post,neutral,3rd-order polynomial,98.80601564850312
1906,3,1906 Q3,without Washington Post,neutral,3rd-order polynomial,98.94586674374699
1906,4,1906 Q4,without Washington Post,neutral,3rd-order polynomial,99.15304092102033
1907,1,1907 Q1,without Washington Post,neutral,3rd-order polynomial,99.18059117205597
1907,2,1907 Q2,without Washington Post,neutral,3rd-order polynomial,98.56003384299444
1907,3,1907 Q3,without Washington Post,neutral,3rd-order polynomial,98.45881853221229
1907,4,1907 Q4,without Washington Post,neutral,3rd-order polynomial,99.43701649594507
1908,1,1908 Q1,without Washington Post,neutral,3rd-order polynomial,99.21638108783121
1908,2,1908 Q2,without Washington Post,neutral,3rd-order polynomial,99.38936790534223
1908,3,1908 Q3,without Washington Post,neutral,3rd-order polynomial,98.62984930831954
1908,4,1908 Q4,without Washington Post,neutral,3rd-order polynomial,99.209980562375
1909,1,1909 Q1,without Washington Post,neutral,3rd-order polynomial,99.33574129176995
1909,2,1909 Q2,without Washington Post,neutral,3rd-order polynomial,99.23332387574317
1909,3,1909 Q3,without Washington Post,neutral,3rd-order polynomial,99.07713917440758
1909,4,1909 Q4,without Washington Post,neutral,3rd-order polynomial,98.93428614553909
1910,1,1910 Q1,without Washington Post,neutral,3rd-order polynomial,99.40844762508726
1910,2,1910 Q2,without Washington Post,neutral,3rd-order polynomial,99.62116698084827
1910,3,1910 Q3,without Washington Post,neutral,3rd-order polynomial,99.59241302602597
1910,4,1910 Q4,without Washington Post,neutral,3rd-order polynomial,99.66744525200517
1911,1,1911 Q1,without Washington Post,neutral,3rd-order polynomial,99.93938642400012
1911,2,1911 Q2,without Washington Post,neutral,3rd-order polynomial,99.51434663822505
1911,3,1911 Q3,without Washington Post,neutral,3rd-order polynomial,99.47760594284331
1911,4,1911 Q4,without Washington Post,neutral,3rd-order polynomial,99.2961242931909
1912,1,1912 Q1,without Washington Post,neutral,3rd-order polynomial,99.6216937266316
1912,2,1912 Q2,without Washington Post,neutral,3rd-order polynomial,99.32122789986875
1912,3,1912 Q3,without Washington Post,neutral,3rd-order polynomial,99.52044095057461
1912,4,1912 Q4,without Washington Post,neutral,3rd-order polynomial,100.2640273111224
1913,1,1913 Q1,without Washington Post,neutral,3rd-order polynomial,100.8822737662728
1913,2,1913 Q2,without Washington Post,neutral,3rd-order polynomial,101.52526038803673
1913,3,1913 Q3,without Washington Post,neutral,3rd-order polynomial,100.98337032386377
1913,4,1913 Q4,without Washington Post,neutral,3rd-order polynomial,101.31666537256234
1914,1,1914 Q1,without Washington Post,neutral,3rd-order polynomial,100.62813924017748
1914,2,1914 Q2,without Washington Post,neutral,3rd-order polynomial,100.39988551365573
1914,3,1914 Q3,without Washington Post,neutral,3rd-order polynomial,100.52112499192216
1914,4,1914 Q4,without Washington Post,neutral,3rd-order polynomial,101.23763052536736
1915,1,1915 Q1,without Washington Post,neutral,3rd-order polynomial,101.00984713540207
1915,2,1915 Q2,without Washington Post,neutral,3rd-order polynomial,100.13758358605067
1915,3,1915 Q3,without Washington Post,neutral,3rd-order polynomial,101.15747872459762
1915,4,1915 Q4,without Washington Post,neutral,3rd-order polynomial,101.19546203425354
1916,1,1916 Q1,without Washington Post,neutral,3rd-order polynomial,100.61737637870709
1916,2,1916 Q2,without Washington Post,neutral,3rd-order polynomial,99.97679433337402
1916,3,1916 Q3,without Washington Post,neutral,3rd-order polynomial,100.48668631805461
1916,4,1916 Q4,without Washington Post,neutral,3rd-order polynomial,101.05236354040937
1917,1,1917 Q1,without Washington Post,neutral,3rd-order polynomial,101.5484395742761
1917,2,1917 Q2,without Washington Post,neutral,3rd-order polynomial,101.9275130539442
1917,3,1917 Q3,without Washington Post,neutral,3rd-order polynomial,101.01837116951899
1917,4,1917 Q4,without Washington Post,neutral,3rd-order polynomial,102.28690871616716
1918,1,1918 Q1,without Washington Post,neutral,3rd-order polynomial,101.28395282386886
1918,2,1918 Q2,without Washington Post,neutral,3rd-order polynomial,101.84007602051294
1918,3,1918 Q3,without Washington Post,neutral,3rd-order polynomial,100.88920028390322
1918,4,1918 Q4,without Washington Post,neutral,3rd-order polynomial,101.07625311913574
1919,1,1919 Q1,without Washington Post,neutral,3rd-order polynomial,101.53781420872636
1919,2,1919 Q2,without Washington Post,neutral,3rd-order polynomial,101.66308490705495
1919,3,1919 Q3,without Washington Post,neutral,3rd-order polynomial,100.92570814294547
1919,4,1919 Q4,without Washington Post,neutral,3rd-order polynomial,101.67908129947264
1920,1,1920 Q1,without Washington Post,neutral,3rd-order polynomial,102.24481374352669
1920,2,1920 Q2,without Washington Post,neutral,3rd-order polynomial,102.03303956141424
1920,3,1920 Q3,without Washington Post,neutral,3rd-order polynomial,101.02236270527415
1920,4,1920 Q4,without Washington Post,neutral,3rd-order polynomial,101.34379318964953
1921,1,1921 Q1,without Washington Post,neutral,3rd-order polynomial,101.73272637581273
1921,2,1921 Q2,without Washington Post,neutral,3rd-order polynomial,101.59212807389093
1921,3,1921 Q3,without Washington Post,neutral,3rd-order polynomial,101.51175419108034
1921,4,1921 Q4,without Washington Post,neutral,3rd-order polynomial,101.33766893111573
1922,1,1922 Q1,without Washington Post,neutral,3rd-order polynomial,101.188737520098
1922,2,1922 Q2,without Washington Post,neutral,3rd-order polynomial,101.11512031189514
1922,3,1922 Q3,without Washington Post,neutral,3rd-order polynomial,100.61907432533371
1922,4,1922 Q4,without Washington Post,neutral,3rd-order polynomial,100.96157393689447
1923,1,1923 Q1,without Washington Post,neutral,3rd-order polynomial,101.2739885255948
1923,2,1923 Q2,without Washington Post,neutral,3rd-order polynomial,100.36419752184611
1923,3,1923 Q3,without Washington Post,neutral,3rd-order polynomial,100.14007307177616
1923,4,1923 Q4,without Washington Post,neutral,3rd-order polynomial,100.43488900690676
1924,1,1924 Q1,without Washington Post,neutral,3rd-order polynomial,100.56551763339534
1924,2,1924 Q2,without Washington Post,neutral,3rd-order polynomial,100.2912095416529
1924,3,1924 Q3,without Washington Post,neutral,3rd-order polynomial,100.00471453004747
1924,4,1924 Q4,without Washington Post,neutral,3rd-order polynomial,100.57257432738714
1925,1,1925 Q1,without Washington Post,neutral,3rd-order polynomial,100.12441412240592
1925,2,1925 Q2,without Washington Post,neutral,3rd-order polynomial,100.19168511104989
1925,3,1925 Q3,without Washington Post,neutral,3rd-order polynomial,100.48531875203963
1925,4,1925 Q4,without Washington Post,neutral,3rd-order polynomial,100.50362814016665
1926,1,1926 Q1,without Washington Post,neutral,3rd-order polynomial,100.32611758157637
1926,2,1926 Q2,without Washington Post,neutral,3rd-order polynomial,100.44563824247018
1926,3,1926 Q3,without Washington Post,neutral,3rd-order polynomial,100.21954805044446
1926,4,1926 Q4,without Washington Post,neutral,3rd-order polynomial,100.18537259812553
1927,1,1927 Q1,without Washington Post,neutral,3rd-order polynomial,100.45769229973773
1927,2,1927 Q2,without Washington Post,neutral,3rd-order polynomial,100.24235279551219
1927,3,1927 Q3,without Washington Post,neutral,3rd-order polynomial,100.1099199522366
1927,4,1927 Q4,without Washington Post,neutral,3rd-order polynomial,100.24908349813822
1928,1,1928 Q1,without Washington Post,neutral,3rd-order polynomial,100.70111537877568
1928,2,1928 Q2,without Washington Post,neutral,3rd-order polynomial,100.58795390117811
1928,3,1928 Q3,without Washington Post,neutral,3rd-order polynomial,100.50620481368674
1928,4,1928 Q4,without Washington Post,neutral,3rd-order polynomial,100.5344892687249
1929,1,1929 Q1,without Washington Post,neutral,3rd-order polynomial,100.63374449028535
1929,2,1929 Q2,without Washington Post,neutral,3rd-order polynomial,100.53724064471066
1929,3,1929 Q3,without Washington Post,neutral,3rd-order polynomial,100.58758859900186
1929,4,1929 Q4,without Washington Post,neutral,3rd-order polynomial,101.25926173003442
1930,1,1930 Q1,without Washington Post,neutral,3rd-order polynomial,100.47628593285638
1930,2,1930 Q2,without Washington Post,neutral,3rd-order polynomial,100.53400935641604
1930,3,1930 Q3,without Washington Post,neutral,3rd-order polynomial,100.16206781732588
1930,4,1930 Q4,without Washington Post,neutral,3rd-order polynomial,100.23484329518914
1931,1,1931 Q1,without Washington Post,neutral,3rd-order polynomial,100.84706026531833
1931,2,1931 Q2,without Washington Post,neutral,3rd-order polynomial,100.46816313790926
1931,3,1931 Q3,without Washington Post,neutral,3rd-order polynomial,100.83063462932917
1931,4,1931 Q4,without Washington Post,neutral,3rd-order polynomial,101.01894531386355
1932,1,1932 Q1,without Washington Post,neutral,3rd-order polynomial,101.29865521120098
1932,2,1932 Q2,without Washington Post,neutral,3rd-order polynomial,101.12506170463243
1932,3,1932 Q3,without Washington Post,neutral,3rd-order polynomial,101.23935173254227
1932,4,1932 Q4,without Washington Post,neutral,3rd-order polynomial,101.2326129264535
1933,1,1933 Q1,without Washington Post,neutral,3rd-order polynomial,102.13543119341747
1933,2,1933 Q2,without Washington Post,neutral,3rd-order polynomial,101.54022509028655
1933,3,1933 Q3,without Washington Post,neutral,3rd-order polynomial,100.99325779611252
1933,4,1933 Q4,without Washington Post,neutral,3rd-order polynomial,101.48994681700414
1934,1,1934 Q1,without Washington Post,neutral,3rd-order polynomial,101.73253505674892
1934,2,1934 Q2,without Washington Post,neutral,3rd-order polynomial,101.1073903496814
1934,3,1934 Q3,without Washington Post,neutral,3rd-order polynomial,100.82558223393272
1934,4,1934 Q4,without Washington Post,neutral,3rd-order polynomial,100.71234384650754
1935,1,1935 Q1,without Washington Post,neutral,3rd-order polynomial,100.58359100556409
1935,2,1935 Q2,without Washington Post,neutral,3rd-order polynomial,100.34716561459688
1935,3,1935 Q3,without Washington Post,neutral,3rd-order polynomial,100.43735092064692
1935,4,1935 Q4,without Washington Post,neutral,3rd-order polynomial,100.7368032178448
1936,1,1936 Q1,without Washington Post,neutral,3rd-order polynomial,100.58974426147735
1936,2,1936 Q2,without Washington Post,neutral,3rd-order polynomial,100.3034201442169
1936,3,1936 Q3,without Washington Post,neutral,3rd-order polynomial,100.0203338092081
1936,4,1936 Q4,without Washington Post,neutral,3rd-order polynomial,100.19367139142145
1937,1,1937 Q1,without Washington Post,neutral,3rd-order polynomial,100.23624672305652
1937,2,1937 Q2,without Washington Post,neutral,3rd-order polynomial,100.04551040342781
1937,3,1937 Q3,without Washington Post,neutral,3rd-order polynomial,100.01403904545624
1937,4,1937 Q4,without Washington Post,neutral,3rd-order polynomial,99.85464333537072
1938,1,1938 Q1,without Washington Post,neutral,3rd-order polynomial,100.54779691361819
1938,2,1938 Q2,without Washington Post,neutral,3rd-order polynomial,100.14347654983405
1938,3,1938 Q3,without Washington Post,neutral,3rd-order polynomial,100.08822424017737
1938,4,1938 Q4,without Washington Post,neutral,3rd-order polynomial,100.24956286708104
1939,1,1939 Q1,without Washington Post,neutral,3rd-order polynomial,100.2736213131085
1939,2,1939 Q2,without Washington Post,neutral,3rd-order polynomial,100.12564234365678
1939,3,1939 Q3,without Washington Post,neutral,3rd-order polynomial,99.56160662890667
1939,4,1939 Q4,without Washington Post,neutral,3rd-order polynomial,100.06092719351123
1940,1,1940 Q1,without Washington Post,neutral,3rd-order polynomial,100.30689996639596
1940,2,1940 Q2,without Washington Post,neutral,3rd-order polynomial,99.56873402325039
1940,3,1940 Q3,without Washington Post,neutral,3rd-order polynomial,99.77454857070329
1940,4,1940 Q4,without Washington Post,neutral,3rd-order polynomial,99.5544846167195
1941,1,1941 Q1,without Washington Post,neutral,3rd-order polynomial,99.82334703215214
1941,2,1941 Q2,without Washington Post,neutral,3rd-order polynomial,99.41611342206025
1941,3,1941 Q3,without Washington Post,neutral,3rd-order polynomial,99.18618468085707
1941,4,1941 Q4,without Washington Post,neutral,3rd-order polynomial,99.23541948477322
1942,1,1942 Q1,without Washington Post,neutral,3rd-order polynomial,99.56282070383502
1942,2,1942 Q2,without Washington Post,neutral,3rd-order polynomial,99.41562069917792
1942,3,1942 Q3,without Washington Post,neutral,3rd-order polynomial,98.9211704091184
1942,4,1942 Q4,without Washington Post,neutral,3rd-order polynomial,98.8627878902676
1943,1,1943 Q1,without Washington Post,neutral,3rd-order polynomial,99.28693705537975
1943,2,1943 Q2,without Washington Post,neutral,3rd-order polynomial,99.08229593813856
1943,3,1943 Q3,without Washington Post,neutral,3rd-order polynomial,99.14980948901743
